single_encoder,code_d,code_g,code_c,code_sc,division,group,class,subclass
RDF10,RDF10,,,,Natural sciences,,,
RDF101,RDF10,RDF101,,,Natural sciences,Mathematics and statistics,,
RDF10101,RDF10,RDF101,RDF10101,,Natural sciences,Mathematics and statistics,Pure mathematics,
RDF1010101,RDF10,RDF101,RDF10101,RDF1010101,Natural sciences,Mathematics and statistics,Pure mathematics,Algebra
RDF1010102,RDF10,RDF101,RDF10101,RDF1010102,Natural sciences,Mathematics and statistics,Pure mathematics,Number theory
RDF1010103,RDF10,RDF101,RDF10101,RDF1010103,Natural sciences,Mathematics and statistics,Pure mathematics,Algebraic and differential geometry
RDF1010104,RDF10,RDF101,RDF10101,RDF1010104,Natural sciences,Mathematics and statistics,Pure mathematics,Metric and fractal geometry
RDF1010105,RDF10,RDF101,RDF10101,RDF1010105,Natural sciences,Mathematics and statistics,Pure mathematics,"Category theory, K theory, homological algebra"
RDF1010106,RDF10,RDF101,RDF10101,RDF1010106,Natural sciences,Mathematics and statistics,Pure mathematics,Combinatorics and discrete mathematics
RDF1010107,RDF10,RDF101,RDF10101,RDF1010107,Natural sciences,Mathematics and statistics,Pure mathematics,Group theory and generalisations
RDF1010108,RDF10,RDF101,RDF10101,RDF1010108,Natural sciences,Mathematics and statistics,Pure mathematics,"Lie groups, harmonic and Fourier analysis"
RDF1010109,RDF10,RDF101,RDF10101,RDF1010109,Natural sciences,Mathematics and statistics,Pure mathematics,"Foundations, logic, and set theory of mathematics"
RDF1010110,RDF10,RDF101,RDF10101,RDF1010110,Natural sciences,Mathematics and statistics,Pure mathematics,Modern analysis in mathematics
RDF1010111,RDF10,RDF101,RDF10101,RDF1010111,Natural sciences,Mathematics and statistics,Pure mathematics,Differential equations and integral equations in pure mathematics
RDF1010112,RDF10,RDF101,RDF10101,RDF1010112,Natural sciences,Mathematics and statistics,Pure mathematics,Classical analysis in pure mathematics
RDF1010113,RDF10,RDF101,RDF10101,RDF1010113,Natural sciences,Mathematics and statistics,Pure mathematics,Topology
RDF1010199,RDF10,RDF101,RDF10101,RDF1010199,Natural sciences,Mathematics and statistics,Pure mathematics,"Pure mathematics, n.e.c."
RDF10102,RDF10,RDF101,RDF10102,,Natural sciences,Mathematics and statistics,Applied mathematics,
RDF1010201,RDF10,RDF101,RDF10102,RDF1010201,Natural sciences,Mathematics and statistics,Applied mathematics,Approximation theory and asymptotic methods
RDF1010202,RDF10,RDF101,RDF10102,RDF1010202,Natural sciences,Mathematics and statistics,Applied mathematics,Integral equations in applied mathematics
RDF1010203,RDF10,RDF101,RDF10102,RDF1010203,Natural sciences,Mathematics and statistics,Applied mathematics,Partial and ordinary differential equations
RDF1010204,RDF10,RDF101,RDF10102,RDF1010204,Natural sciences,Mathematics and statistics,Applied mathematics,Mathematical modelling and simulation
RDF1010205,RDF10,RDF101,RDF10102,RDF1010205,Natural sciences,Mathematics and statistics,Applied mathematics,Computational fluid mechanics
RDF1010206,RDF10,RDF101,RDF10102,RDF1010206,Natural sciences,Mathematics and statistics,Applied mathematics,Mathematical biology
RDF1010207,RDF10,RDF101,RDF10102,RDF1010207,Natural sciences,Mathematics and statistics,Applied mathematics,"Calculus of variations, systems theory and control theory"
RDF1010208,RDF10,RDF101,RDF10102,RDF1010208,Natural sciences,Mathematics and statistics,Applied mathematics,Dynamical systems in applications
RDF1010209,RDF10,RDF101,RDF10102,RDF1010209,Natural sciences,Mathematics and statistics,Applied mathematics,Mathematical operations research
RDF1010210,RDF10,RDF101,RDF10102,RDF1010210,Natural sciences,Mathematics and statistics,Applied mathematics,Theoretical and applied mechanics
RDF1010211,RDF10,RDF101,RDF10102,RDF1010211,Natural sciences,Mathematics and statistics,Applied mathematics,Numerical analysis
RDF1010212,RDF10,RDF101,RDF10102,RDF1010212,Natural sciences,Mathematics and statistics,Applied mathematics,Mathematical optimization
RDF1010213,RDF10,RDF101,RDF10102,RDF1010213,Natural sciences,Mathematics and statistics,Applied mathematics,Mathematical physics
RDF1010299,RDF10,RDF101,RDF10102,RDF1010299,Natural sciences,Mathematics and statistics,Applied mathematics,"Applied mathematics, n.e.c."
RDF10103,RDF10,RDF101,RDF10103,,Natural sciences,Mathematics and statistics,Statistics,
RDF1010301,RDF10,RDF101,RDF10103,RDF1010301,Natural sciences,Mathematics and statistics,Statistics,General statistical methods
RDF1010302,RDF10,RDF101,RDF10103,RDF1010302,Natural sciences,Mathematics and statistics,Statistics,Biostatistical methods
RDF1010303,RDF10,RDF101,RDF10103,RDF1010303,Natural sciences,Mathematics and statistics,Statistics,Statistical theory and modeling
RDF1010304,RDF10,RDF101,RDF10103,RDF1010304,Natural sciences,Mathematics and statistics,Statistics,Statistical inference
RDF1010305,RDF10,RDF101,RDF10103,RDF1010305,Natural sciences,Mathematics and statistics,Statistics,Statistical learning
RDF1010306,RDF10,RDF101,RDF10103,RDF1010306,Natural sciences,Mathematics and statistics,Statistics,High dimensional data analysis
RDF1010307,RDF10,RDF101,RDF10103,RDF1010307,Natural sciences,Mathematics and statistics,Statistics,Computational methods in statistics
RDF1010308,RDF10,RDF101,RDF10103,RDF1010308,Natural sciences,Mathematics and statistics,Statistics,Actuarial science and mathematical finance
RDF1010309,RDF10,RDF101,RDF10103,RDF1010309,Natural sciences,Mathematics and statistics,Statistics,Spatial statistics
RDF1010310,RDF10,RDF101,RDF10103,RDF1010310,Natural sciences,Mathematics and statistics,Statistics,Survey methodology and analysis
RDF1010311,RDF10,RDF101,RDF10103,RDF1010311,Natural sciences,Mathematics and statistics,Statistics,Statistical methods for high throughput data
RDF1010312,RDF10,RDF101,RDF10103,RDF1010312,Natural sciences,Mathematics and statistics,Statistics,Probability theory
RDF1010399,RDF10,RDF101,RDF10103,RDF1010399,Natural sciences,Mathematics and statistics,Statistics,"Statistics, n.e.c."
RDF102,RDF10,RDF102,,,Natural sciences,Computer and information sciences,,
RDF10201,RDF10,RDF102,RDF10201,,Natural sciences,Computer and information sciences,Artificial intelligence (AI),
RDF1020101,RDF10,RDF102,RDF10201,RDF1020101,Natural sciences,Computer and information sciences,Artificial intelligence (AI),Adaptive agents
RDF1020102,RDF10,RDF102,RDF10201,RDF1020102,Natural sciences,Computer and information sciences,Artificial intelligence (AI),Intelligent robotics
RDF1020103,RDF10,RDF102,RDF10201,RDF1020103,Natural sciences,Computer and information sciences,Artificial intelligence (AI),Artificial life
RDF1020104,RDF10,RDF102,RDF10201,RDF1020104,Natural sciences,Computer and information sciences,Artificial intelligence (AI),Machine learning
RDF1020105,RDF10,RDF102,RDF10201,RDF1020105,Natural sciences,Computer and information sciences,Artificial intelligence (AI),Natural language processing
RDF1020106,RDF10,RDF102,RDF10201,RDF1020106,Natural sciences,Computer and information sciences,Artificial intelligence (AI),Knowledge representation
RDF1020107,RDF10,RDF102,RDF10201,RDF1020107,Natural sciences,Computer and information sciences,Artificial intelligence (AI),Planning and scheduling in artificial intelligence
RDF1020108,RDF10,RDF102,RDF10201,RDF1020108,Natural sciences,Computer and information sciences,Artificial intelligence (AI),Search methodologies in artificial intelligence
RDF1020109,RDF10,RDF102,RDF10201,RDF1020109,Natural sciences,Computer and information sciences,Artificial intelligence (AI),Distributed artificial intelligence
RDF1020110,RDF10,RDF102,RDF10201,RDF1020110,Natural sciences,Computer and information sciences,Artificial intelligence (AI),Data mining
RDF1020111,RDF10,RDF102,RDF10201,RDF1020111,Natural sciences,Computer and information sciences,Artificial intelligence (AI),Pattern recognition and artificial vision
RDF1020112,RDF10,RDF102,RDF10201,RDF1020112,Natural sciences,Computer and information sciences,Artificial intelligence (AI),Computer vision in artificial intelligence
RDF1020113,RDF10,RDF102,RDF10201,RDF1020113,Natural sciences,Computer and information sciences,Artificial intelligence (AI),Cognitive computing
RDF1020114,RDF10,RDF102,RDF10201,RDF1020114,Natural sciences,Computer and information sciences,Artificial intelligence (AI),"Computer modelling on perception, memory and attention"
RDF1020115,RDF10,RDF102,RDF10201,RDF1020115,Natural sciences,Computer and information sciences,Artificial intelligence (AI),Logic programming in artificial intelligence
RDF1020116,RDF10,RDF102,RDF10201,RDF1020116,Natural sciences,Computer and information sciences,Artificial intelligence (AI),Expert systems technologies in artificial intelligence
RDF1020199,RDF10,RDF102,RDF10201,RDF1020199,Natural sciences,Computer and information sciences,Artificial intelligence (AI),"Artificial intelligence, n.e.c."
RDF10202,RDF10,RDF102,RDF10202,,Natural sciences,Computer and information sciences,Theoretical computer science and computational mathematics,
RDF1020201,RDF10,RDF102,RDF10202,RDF1020201,Natural sciences,Computer and information sciences,Theoretical computer science and computational mathematics,Analysis of algorithms and complexity
RDF1020202,RDF10,RDF102,RDF10202,RDF1020202,Natural sciences,Computer and information sciences,Theoretical computer science and computational mathematics,Algorithms and data structures
RDF1020203,RDF10,RDF102,RDF10202,RDF1020203,Natural sciences,Computer and information sciences,Theoretical computer science and computational mathematics,Applied discrete mathematics
RDF1020204,RDF10,RDF102,RDF10202,RDF1020204,Natural sciences,Computer and information sciences,Theoretical computer science and computational mathematics,Coding and information theory
RDF1020205,RDF10,RDF102,RDF10202,RDF1020205,Natural sciences,Computer and information sciences,Theoretical computer science and computational mathematics,Computational logic theory
RDF1020206,RDF10,RDF102,RDF10202,RDF1020206,Natural sciences,Computer and information sciences,Theoretical computer science and computational mathematics,Artificial languages
RDF1020207,RDF10,RDF102,RDF10202,RDF1020207,Natural sciences,Computer and information sciences,Theoretical computer science and computational mathematics,Mathematical software
RDF1020208,RDF10,RDF102,RDF10202,RDF1020208,Natural sciences,Computer and information sciences,Theoretical computer science and computational mathematics,Numerical computation
RDF1020209,RDF10,RDF102,RDF10202,RDF1020209,Natural sciences,Computer and information sciences,Theoretical computer science and computational mathematics,Encryption and cryptography
RDF1020210,RDF10,RDF102,RDF10202,RDF1020210,Natural sciences,Computer and information sciences,Theoretical computer science and computational mathematics,Distributed programming languages
RDF1020299,RDF10,RDF102,RDF10202,RDF1020299,Natural sciences,Computer and information sciences,Theoretical computer science and computational mathematics,"Other theoretical computer science and computational mathematics, n.e.c."
RDF10203,RDF10,RDF102,RDF10203,,Natural sciences,Computer and information sciences,Programming languages and software engineering,
RDF1020301,RDF10,RDF102,RDF10203,RDF1020301,Natural sciences,Computer and information sciences,Programming languages and software engineering,Software architecture
RDF1020302,RDF10,RDF102,RDF10203,RDF1020302,Natural sciences,Computer and information sciences,Programming languages and software engineering,Computation models
RDF1020303,RDF10,RDF102,RDF10203,RDF1020303,Natural sciences,Computer and information sciences,Programming languages and software engineering,Software domains (including operating systems and software infrastructure)
RDF1020304,RDF10,RDF102,RDF10203,RDF1020304,Natural sciences,Computer and information sciences,Programming languages and software engineering,Programming languages
RDF1020305,RDF10,RDF102,RDF10203,RDF1020305,Natural sciences,Computer and information sciences,Programming languages and software engineering,Software system models
RDF1020306,RDF10,RDF102,RDF10203,RDF1020306,Natural sciences,Computer and information sciences,Programming languages and software engineering,Distributed systems organizing principles
RDF1020307,RDF10,RDF102,RDF10203,RDF1020307,Natural sciences,Computer and information sciences,Programming languages and software engineering,Real-time software and ultra-large systems
RDF1020308,RDF10,RDF102,RDF10203,RDF1020308,Natural sciences,Computer and information sciences,Programming languages and software engineering,Extra-functional properties
RDF1020309,RDF10,RDF102,RDF10203,RDF1020309,Natural sciences,Computer and information sciences,Programming languages and software engineering,Compilers
RDF1020310,RDF10,RDF102,RDF10203,RDF1020310,Natural sciences,Computer and information sciences,Programming languages and software engineering,Operating systems
RDF1020311,RDF10,RDF102,RDF10203,RDF1020311,Natural sciences,Computer and information sciences,Programming languages and software engineering,Software function properties
RDF1020312,RDF10,RDF102,RDF10203,RDF1020312,Natural sciences,Computer and information sciences,Programming languages and software engineering,Distributed algorithms
RDF1020313,RDF10,RDF102,RDF10203,RDF1020313,Natural sciences,Computer and information sciences,Programming languages and software engineering,Adaptive software engineering
RDF1020399,RDF10,RDF102,RDF10203,RDF1020399,Natural sciences,Computer and information sciences,Programming languages and software engineering,"Programming language and software engineering, n.e.c."
RDF10204,RDF10,RDF102,RDF10204,,Natural sciences,Computer and information sciences,Computing systems,
RDF1020401,RDF10,RDF102,RDF10204,RDF1020401,Natural sciences,Computer and information sciences,Computing systems,Distributed systems
RDF1020402,RDF10,RDF102,RDF10204,RDF1020402,Natural sciences,Computer and information sciences,Computing systems,Networking and communications
RDF1020403,RDF10,RDF102,RDF10204,RDF1020403,Natural sciences,Computer and information sciences,Computing systems,Parallel systems
RDF1020404,RDF10,RDF102,RDF10204,RDF1020404,Natural sciences,Computer and information sciences,Computing systems,Quantum computing
RDF1020499,RDF10,RDF102,RDF10204,RDF1020499,Natural sciences,Computer and information sciences,Computing systems,"Computing systems, n.e.c."
RDF10205,RDF10,RDF102,RDF10205,,Natural sciences,Computer and information sciences,Human-centered computing,
RDF1020501,RDF10,RDF102,RDF10205,RDF1020501,Natural sciences,Computer and information sciences,Human-centered computing,Human computer interaction
RDF1020502,RDF10,RDF102,RDF10205,RDF1020502,Natural sciences,Computer and information sciences,Human-centered computing,Interaction design for human-centered computing
RDF1020503,RDF10,RDF102,RDF10205,RDF1020503,Natural sciences,Computer and information sciences,Human-centered computing,User-adaptive and personalized systems
RDF1020504,RDF10,RDF102,RDF10205,RDF1020504,Natural sciences,Computer and information sciences,Human-centered computing,Collaborative and social computing
RDF1020505,RDF10,RDF102,RDF10205,RDF1020505,Natural sciences,Computer and information sciences,Human-centered computing,Ubiquitous and mobile computing
RDF1020506,RDF10,RDF102,RDF10205,RDF1020506,Natural sciences,Computer and information sciences,Human-centered computing,Accessibility in human-centered computing
RDF1020507,RDF10,RDF102,RDF10205,RDF1020507,Natural sciences,Computer and information sciences,Human-centered computing,Computer graphics
RDF1020508,RDF10,RDF102,RDF10205,RDF1020508,Natural sciences,Computer and information sciences,Human-centered computing,Data visualization
RDF1020509,RDF10,RDF102,RDF10205,RDF1020509,Natural sciences,Computer and information sciences,Human-centered computing,"Virtual and augmented reality, and related simulations"
RDF1020599,RDF10,RDF102,RDF10205,RDF1020599,Natural sciences,Computer and information sciences,Human-centered computing,"Human-centered computing, n.e.c."
RDF10206,RDF10,RDF102,RDF10206,,Natural sciences,Computer and information sciences,Information Systems,
RDF1020601,RDF10,RDF102,RDF10206,RDF1020601,Natural sciences,Computer and information sciences,Information Systems,Information system security
RDF1020602,RDF10,RDF102,RDF10206,RDF1020602,Natural sciences,Computer and information sciences,Information Systems,Modelling and simulation in information systems
RDF1020603,RDF10,RDF102,RDF10206,RDF1020603,Natural sciences,Computer and information sciences,Information Systems,Web technologies (except Web search)
RDF1020604,RDF10,RDF102,RDF10206,RDF1020604,Natural sciences,Computer and information sciences,Information Systems,Conceptual modelling in information systems
RDF1020605,RDF10,RDF102,RDF10206,RDF1020605,Natural sciences,Computer and information sciences,Information Systems,Database management
RDF1020606,RDF10,RDF102,RDF10206,RDF1020606,Natural sciences,Computer and information sciences,Information Systems,Decision support systems
RDF1020607,RDF10,RDF102,RDF10206,RDF1020607,Natural sciences,Computer and information sciences,Information Systems,Spatial-temporal data systems
RDF1020608,RDF10,RDF102,RDF10206,RDF1020608,Natural sciences,Computer and information sciences,Information Systems,Information systems development methodologies
RDF1020609,RDF10,RDF102,RDF10206,RDF1020609,Natural sciences,Computer and information sciences,Information Systems,Information retrieval
RDF1020610,RDF10,RDF102,RDF10206,RDF1020610,Natural sciences,Computer and information sciences,Information Systems,Information privacy
RDF1020611,RDF10,RDF102,RDF10206,RDF1020611,Natural sciences,Computer and information sciences,Information Systems,Privacy-enhancing technologies
RDF1020612,RDF10,RDF102,RDF10206,RDF1020612,Natural sciences,Computer and information sciences,Information Systems,Digital forensics
RDF1020699,RDF10,RDF102,RDF10206,RDF1020699,Natural sciences,Computer and information sciences,Information Systems,"Information systems, n.e.c."
RDF10207,RDF10,RDF102,RDF10207,,Natural sciences,Computer and information sciences,Library science and information studies,
RDF1020701,RDF10,RDF102,RDF10207,RDF1020701,Natural sciences,Computer and information sciences,Library science and information studies,Library science (librarianship)
RDF1020702,RDF10,RDF102,RDF10207,RDF1020702,Natural sciences,Computer and information sciences,Library science and information studies,Human information behaviour (including human information retrieval)
RDF1020703,RDF10,RDF102,RDF10207,RDF1020703,Natural sciences,Computer and information sciences,Library science and information studies,Web search
RDF1020704,RDF10,RDF102,RDF10207,RDF1020704,Natural sciences,Computer and information sciences,Library science and information studies,"Scientometrics, bibliometrics, webometrics and other quantitative aspects of information (Informetrics)"
RDF1020705,RDF10,RDF102,RDF10207,RDF1020705,Natural sciences,Computer and information sciences,Library science and information studies,Organization of information and knowledge resources
RDF1020706,RDF10,RDF102,RDF10207,RDF1020706,Natural sciences,Computer and information sciences,Library science and information studies,Records and information management (except business records and information management)
RDF1020707,RDF10,RDF102,RDF10207,RDF1020707,Natural sciences,Computer and information sciences,Library science and information studies,"Archival, repository and related studies"
RDF1020708,RDF10,RDF102,RDF10207,RDF1020708,Natural sciences,Computer and information sciences,Library science and information studies,Information literacy
RDF1020799,RDF10,RDF102,RDF10207,RDF1020799,Natural sciences,Computer and information sciences,Library science and information studies,"Information studies, n.e.c."
RDF10208,RDF10,RDF102,RDF10208,,Natural sciences,Computer and information sciences,Bioinformatics,
RDF1020801,RDF10,RDF102,RDF10208,RDF1020801,Natural sciences,Computer and information sciences,Bioinformatics,Algorithms and computational genomics
RDF1020802,RDF10,RDF102,RDF10208,RDF1020802,Natural sciences,Computer and information sciences,Bioinformatics,Computational biomodelling
RDF1020803,RDF10,RDF102,RDF10208,RDF1020803,Natural sciences,Computer and information sciences,Bioinformatics,Computational neurosciences
RDF1020804,RDF10,RDF102,RDF10208,RDF1020804,Natural sciences,Computer and information sciences,Bioinformatics,DNA computing
RDF1020805,RDF10,RDF102,RDF10208,RDF1020805,Natural sciences,Computer and information sciences,Bioinformatics,Molecular and atomic computing
RDF1020806,RDF10,RDF102,RDF10208,RDF1020806,Natural sciences,Computer and information sciences,Bioinformatics,Evolutionary computation
RDF1020807,RDF10,RDF102,RDF10208,RDF1020807,Natural sciences,Computer and information sciences,Bioinformatics,Genetic algorithms
RDF1020808,RDF10,RDF102,RDF10208,RDF1020808,Natural sciences,Computer and information sciences,Bioinformatics,Genetic programming
RDF1020899,RDF10,RDF102,RDF10208,RDF1020899,Natural sciences,Computer and information sciences,Bioinformatics,"Bioinformatics, n.e.c."
RDF10299,RDF10,RDF102,RDF10299,,Natural sciences,Computer and information sciences,Other computer and information sciences,
RDF1029999,RDF10,RDF102,RDF10299,RDF1029999,Natural sciences,Computer and information sciences,Other computer and information sciences,Other computer and information sciences
RDF103,RDF10,RDF103,,,Natural sciences,Physical sciences,,
RDF10301,RDF10,RDF103,RDF10301,,Natural sciences,Physical sciences,Astronomical and space sciences,
RDF1030101,RDF10,RDF103,RDF10301,RDF1030101,Natural sciences,Physical sciences,Astronomical and space sciences,Astrobiology
RDF1030102,RDF10,RDF103,RDF10301,RDF1030102,Natural sciences,Physical sciences,Astronomical and space sciences,Celestial mechanics
RDF1030103,RDF10,RDF103,RDF10301,RDF1030103,Natural sciences,Physical sciences,Astronomical and space sciences,Astronomical and space instrumentation (including atmospheric observation)
RDF1030104,RDF10,RDF103,RDF10301,RDF1030104,Natural sciences,Physical sciences,Astronomical and space sciences,Cosmology and extragalactic astronomy
RDF1030105,RDF10,RDF103,RDF10301,RDF1030105,Natural sciences,Physical sciences,Astronomical and space sciences,Galactic astronomy
RDF1030106,RDF10,RDF103,RDF10301,RDF1030106,Natural sciences,Physical sciences,Astronomical and space sciences,General relativity and gravitational waves in astronomical and space sciences
RDF1030107,RDF10,RDF103,RDF10301,RDF1030107,Natural sciences,Physical sciences,Astronomical and space sciences,"Mesospheric, ionospheric and magnetospheric physics"
RDF1030108,RDF10,RDF103,RDF10301,RDF1030108,Natural sciences,Physical sciences,Astronomical and space sciences,Planetary science (except planetary geology)
RDF1030109,RDF10,RDF103,RDF10301,RDF1030109,Natural sciences,Physical sciences,Astronomical and space sciences,Space and solar physics
RDF1030110,RDF10,RDF103,RDF10301,RDF1030110,Natural sciences,Physical sciences,Astronomical and space sciences,Stellar astronomy and planetary systems
RDF1030111,RDF10,RDF103,RDF10301,RDF1030111,Natural sciences,Physical sciences,Astronomical and space sciences,Astrochemistry
RDF1030112,RDF10,RDF103,RDF10301,RDF1030112,Natural sciences,Physical sciences,Astronomical and space sciences,Dark energy
RDF1030113,RDF10,RDF103,RDF10301,RDF1030113,Natural sciences,Physical sciences,Astronomical and space sciences,Theoretical and computational astrophysics
RDF1030199,RDF10,RDF103,RDF10301,RDF1030199,Natural sciences,Physical sciences,Astronomical and space sciences,"Astronomical and space sciences, n.e.c."
RDF10302,RDF10,RDF103,RDF10302,,Natural sciences,Physical sciences,Subatomic physics,
RDF1030201,RDF10,RDF103,RDF10302,RDF1030201,Natural sciences,Physical sciences,Subatomic physics,"Nuclear physics, experimental"
RDF1030202,RDF10,RDF103,RDF10302,RDF1030202,Natural sciences,Physical sciences,Subatomic physics,"Particle physics, experimental"
RDF1030203,RDF10,RDF103,RDF10302,RDF1030203,Natural sciences,Physical sciences,Subatomic physics,Astroparticle physics
RDF1030204,RDF10,RDF103,RDF10302,RDF1030204,Natural sciences,Physical sciences,Subatomic physics,Subatomic physics instrumentation
RDF1030205,RDF10,RDF103,RDF10302,RDF1030205,Natural sciences,Physical sciences,Subatomic physics,Accelerator for nuclear and particle physics (including synchrotons)
RDF1030206,RDF10,RDF103,RDF10302,RDF1030206,Natural sciences,Physical sciences,Subatomic physics,Nuclear physics theory
RDF1030207,RDF10,RDF103,RDF10302,RDF1030207,Natural sciences,Physical sciences,Subatomic physics,Particle physics theory (including aspects of field theory and string theory)
RDF1030208,RDF10,RDF103,RDF10302,RDF1030208,Natural sciences,Physical sciences,Subatomic physics,High-energy astrophysics and cosmic rays
RDF1030209,RDF10,RDF103,RDF10302,RDF1030209,Natural sciences,Physical sciences,Subatomic physics,Weak interactions of elementary particles
RDF1030210,RDF10,RDF103,RDF10302,RDF1030210,Natural sciences,Physical sciences,Subatomic physics,Intermediate subatomic energy reactions
RDF1030299,RDF10,RDF103,RDF10302,RDF1030299,Natural sciences,Physical sciences,Subatomic physics,"Subatomic physics, n.e.c."
RDF10303,RDF10,RDF103,RDF10303,,Natural sciences,Physical sciences,"Atomic, molecular, and optical physics",
RDF1030301,RDF10,RDF103,RDF10303,RDF1030301,Natural sciences,Physical sciences,"Atomic, molecular, and optical physics",Atomic and molecular physics
RDF1030302,RDF10,RDF103,RDF10303,RDF1030302,Natural sciences,Physical sciences,"Atomic, molecular, and optical physics",Classical and physical optics
RDF1030303,RDF10,RDF103,RDF10303,RDF1030303,Natural sciences,Physical sciences,"Atomic, molecular, and optical physics",Lasers and quantum electronics
RDF1030304,RDF10,RDF103,RDF10303,RDF1030304,Natural sciences,Physical sciences,"Atomic, molecular, and optical physics",Nonlinear optics and spectroscopy
RDF1030305,RDF10,RDF103,RDF10303,RDF1030305,Natural sciences,Physical sciences,"Atomic, molecular, and optical physics",Atomic and molecular spectroscopy
RDF1030306,RDF10,RDF103,RDF10303,RDF1030306,Natural sciences,Physical sciences,"Atomic, molecular, and optical physics","Photonics, optoelectronics and optical communications"
RDF1030307,RDF10,RDF103,RDF10303,RDF1030307,Natural sciences,Physical sciences,"Atomic, molecular, and optical physics","Plasma physics, fusion plasmas, and electrical discharges"
RDF1030308,RDF10,RDF103,RDF10303,RDF1030308,Natural sciences,Physical sciences,"Atomic, molecular, and optical physics",Quantum optics
RDF1030399,RDF10,RDF103,RDF10303,RDF1030399,Natural sciences,Physical sciences,"Atomic, molecular, and optical physics","Atomic, molecular, and optical physics, n.e.c."
RDF10304,RDF10,RDF103,RDF10304,,Natural sciences,Physical sciences,Classical physics,
RDF1030401,RDF10,RDF103,RDF10304,RDF1030401,Natural sciences,Physical sciences,Classical physics,Acoustics and acoustical devices and waves
RDF1030402,RDF10,RDF103,RDF10304,RDF1030402,Natural sciences,Physical sciences,Classical physics,Electrostatics and electrodynamics
RDF1030403,RDF10,RDF103,RDF10304,RDF1030403,Natural sciences,Physical sciences,Classical physics,Fluid physics
RDF1030404,RDF10,RDF103,RDF10304,RDF1030404,Natural sciences,Physical sciences,Classical physics,Thermodynamics and statistical physics
RDF1030499,RDF10,RDF103,RDF10304,RDF1030499,Natural sciences,Physical sciences,Classical physics,"Classical physics, n.e.c."
RDF10305,RDF10,RDF103,RDF10305,,Natural sciences,Physical sciences,Condensed matter physics,
RDF1030501,RDF10,RDF103,RDF10305,RDF1030501,Natural sciences,Physical sciences,Condensed matter physics,Condensed matter characterization technique development
RDF1030502,RDF10,RDF103,RDF10305,RDF1030502,Natural sciences,Physical sciences,Condensed matter physics,Condensed matter experiments
RDF1030503,RDF10,RDF103,RDF10305,RDF1030503,Natural sciences,Physical sciences,Condensed matter physics,Condensed matter modelling and density functional theory
RDF1030504,RDF10,RDF103,RDF10305,RDF1030504,Natural sciences,Physical sciences,Condensed matter physics,Electronic and magnetic properties of condensed matter and supraconductivity
RDF1030505,RDF10,RDF103,RDF10305,RDF1030505,Natural sciences,Physical sciences,Condensed matter physics,Soft condensed matter
RDF1030506,RDF10,RDF103,RDF10305,RDF1030506,Natural sciences,Physical sciences,Condensed matter physics,Surfaces and structural properties of condensed matter
RDF1030507,RDF10,RDF103,RDF10305,RDF1030507,Natural sciences,Physical sciences,Condensed matter physics,Superconductivity
RDF1030508,RDF10,RDF103,RDF10305,RDF1030508,Natural sciences,Physical sciences,Condensed matter physics,Semiconductors
RDF1030509,RDF10,RDF103,RDF10305,RDF1030509,Natural sciences,Physical sciences,Condensed matter physics,Low-temperature physics
RDF1030510,RDF10,RDF103,RDF10305,RDF1030510,Natural sciences,Physical sciences,Condensed matter physics,Mesoscopic physics
RDF1030599,RDF10,RDF103,RDF10305,RDF1030599,Natural sciences,Physical sciences,Condensed matter physics,"Condensed matter physics, n.e.c."
RDF10306,RDF10,RDF103,RDF10306,,Natural sciences,Physical sciences,Quantum physics,
RDF1030601,RDF10,RDF103,RDF10306,RDF1030601,Natural sciences,Physical sciences,Quantum physics,Degenerate quantum gases
RDF1030602,RDF10,RDF103,RDF10306,RDF1030602,Natural sciences,Physical sciences,Quantum physics,Matter waves
RDF1030603,RDF10,RDF103,RDF10306,RDF1030603,Natural sciences,Physical sciences,Quantum physics,General relativity and gravitational waves in quantum physics
RDF1030604,RDF10,RDF103,RDF10306,RDF1030604,Natural sciences,Physical sciences,Quantum physics,"Quantum information, computation and communication"
RDF1030605,RDF10,RDF103,RDF10306,RDF1030605,Natural sciences,Physical sciences,Quantum physics,Foundation of quantum physics
RDF1030606,RDF10,RDF103,RDF10306,RDF1030606,Natural sciences,Physical sciences,Quantum physics,Quantum technologies
RDF1030607,RDF10,RDF103,RDF10306,RDF1030607,Natural sciences,Physical sciences,Quantum physics,Statistical mechanics in quantum physics
RDF1030699,RDF10,RDF103,RDF10306,RDF1030699,Natural sciences,Physical sciences,Quantum physics,"Quantum physics, n.e.c."
RDF10399,RDF10,RDF103,RDF10399,,Natural sciences,Physical sciences,Other physical sciences,
RDF1039901,RDF10,RDF103,RDF10399,RDF1039901,Natural sciences,Physical sciences,Other physical sciences,Complex physical systems
RDF1039902,RDF10,RDF103,RDF10399,RDF1039902,Natural sciences,Physical sciences,Other physical sciences,Medical physics
RDF1039903,RDF10,RDF103,RDF10399,RDF1039903,Natural sciences,Physical sciences,Other physical sciences,Instrumentation in physics
RDF1039999,RDF10,RDF103,RDF10399,RDF1039999,Natural sciences,Physical sciences,Other physical sciences,"Other physical sciences, n.e.c."
RDF104,RDF10,RDF104,,,Natural sciences,Chemical sciences,,
RDF10401,RDF10,RDF104,RDF10401,,Natural sciences,Chemical sciences,Analytical chemistry,
